,QuestionId,UserId,AnswerId,IsCorrect,CorrectAnswer,AnswerValue
7562,911,908,405478,1,2,2
7654,855,3857,1492969,0,3,1
7666,462,233,90330,0,3,1
7824,83,4667,877423,0,2,1
7845,625,2550,827917,0,1,2
7868,625,3532,977335,1,1,1
7880,625,4008,823300,1,1,1
7885,89,5498,373770,1,4,4
7919,89,1018,304583,1,4,4
7946,405,4373,1284298,1,2,2
7969,625,4807,718654,1,1,1
7985,727,4798,816919,1,2,2
7995,764,2749,808449,1,4,4
8009,89,1880,400638,0,4,3
8069,815,5189,125686,1,1,1
8149,922,1921,1410514,1,4,4
8180,625,2366,907878,0,1,3
8196,405,2657,844325,1,2,2
8213,625,169,1466408,1,1,1
8256,625,3450,420575,1,1,1
8267,547,4469,560037,1,4,4
8282,405,3320,107571,1,2,2
8284,547,185,171488,0,4,3
8330,815,4033,187061,0,1,4
8372,332,2130,1428955,0,2,1
8388,836,2394,733081,0,4,3
8392,462,409,1442618,1,3,3
8447,815,5925,1460865,1,1,1
8467,855,10,1378637,1,3,3
8481,911,5124,1478884,0,2,1
8585,252,5276,1222371,0,3,4
8634,922,2813,853716,1,4,4
8669,625,3852,877006,1,1,1
8671,405,4575,177367,1,2,2
8683,405,1612,69513,1,2,2
8702,462,1704,1309576,1,3,3
8706,911,1288,650456,0,2,1
8726,922,2075,731771,0,4,3
8794,332,4350,1464667,1,2,2
8865,855,4868,317396,1,3,3
8873,855,187,139041,1,3,3
8883,856,1810,195737,0,3,2
8972,911,1634,753421,0,2,1
9023,836,2980,202681,1,4,4
9040,89,4818,893508,0,4,1
9052,405,2324,255139,1,2,2
9069,199,2797,233267,1,1,1
9095,252,2510,610098,1,3,3
9105,856,5664,561776,0,3,1
9106,764,5189,232197,0,4,3
9167,199,4098,909208,1,1,1
9344,855,1068,400906,1,3,3
9350,199,1208,1248630,1,1,1
9430,332,628,870383,1,2,2
9441,178,2201,1188558,1,4,4
9479,922,1030,48156,1,4,4
9511,462,2190,765952,1,3,3
9568,252,2837,432278,0,3,2
9579,855,3379,563248,0,3,4
9627,50,4492,1217397,1,2,2
9676,625,2999,845601,1,1,1
9729,668,1734,985522,1,3,3
9730,836,4534,217495,0,4,1
9789,178,4291,139676,1,4,4
9801,836,2130,1275811,0,4,2
9810,668,5661,321201,1,3,3
9891,547,3507,548226,0,4,2
9895,462,314,1373807,1,3,3
9902,668,3618,948320,0,3,2
9910,50,3555,1190662,1,2,2
9994,405,3112,232990,1,2,2
10004,462,5229,739006,1,3,3
10142,50,2207,539589,1,2,2
10176,252,4575,756725,1,3,3
10191,855,221,121569,1,3,3
10222,625,5593,142788,0,1,3
10384,856,4123,1181703,0,3,2
10397,462,2562,985176,1,3,3
10418,199,1068,1022370,0,1,2
10457,178,1585,737174,1,4,4
10552,911,5090,1305601,1,2,2
10565,815,2818,661973,1,1,1
10592,83,2423,708849,0,2,1
10614,332,3761,32771,0,2,3
10634,856,5328,251607,0,3,2
10651,50,1378,1492583,0,2,4
10692,50,5699,761752,1,2,2
10711,625,5274,790513,1,1,1
10743,764,1416,709900,1,4,4
10771,625,3517,1429436,1,1,1
10827,50,1635,1050103,1,2,2
10836,462,1968,1276825,1,3,3
10839,911,2784,1449359,1,2,2
10868,89,2446,14536,0,4,3
10919,50,885,603859,1,2,2
10951,83,2142,1027465,1,2,2
11055,547,4098,848943,1,4,4
11144,462,960,1258276,1,3,3
11157,668,3339,247043,1,3,3
11181,922,135,195875,0,4,2
11188,625,2237,112622,0,1,3
11288,855,5175,788138,0,3,4
11300,911,2680,1444262,1,2,2
11301,855,714,163346,1,3,3
11306,89,998,702312,1,4,4
11373,856,1355,840778,0,3,4
11396,50,2386,1053327,1,2,2
11421,50,789,1508389,1,2,2
11432,856,154,1492422,0,3,4
11520,178,4107,755825,1,4,4
11598,922,4037,733838,0,4,3
11674,922,2999,1496560,0,4,3
11693,855,6018,57984,1,3,3
11713,855,2062,96443,0,3,2
11776,922,5494,1097256,1,4,4
11779,462,4261,625459,1,3,3
11781,856,3803,1489591,0,3,2
11803,727,4215,852819,0,2,1
11838,332,3738,426280,1,2,2
11863,856,5424,421541,0,3,2
11864,199,1595,471326,1,1,1
11998,855,5102,488176,1,3,3
12043,727,5561,843734,1,2,2
12051,836,2250,75050,0,4,2
12068,764,4280,919294,1,4,4
12090,668,4868,1299610,1,3,3
12146,836,3128,245448,0,4,3
12171,815,1776,1338180,1,1,1
12202,50,4767,464286,0,2,4
12239,332,3323,79606,1,2,2
12365,462,4280,1157203,1,3,3
12372,836,3323,859682,1,4,4
12470,764,405,216453,1,4,4
12481,50,5758,621167,0,2,4
12599,332,5434,1479464,1,2,2
12600,856,3099,1208818,1,3,3
12605,911,439,597692,1,2,2
12679,462,4216,639314,1,3,3
12702,764,5889,1243082,1,4,4
12744,911,2183,1108618,0,2,4
12752,668,3446,969456,1,3,3
12774,405,3326,97972,1,2,2
12793,547,5777,962830,0,4,2
12826,252,2061,584833,1,3,3
12927,727,2022,277576,1,2,2
12946,462,657,760646,1,3,3
12947,199,2720,1025411,1,1,1
12971,83,5136,1366096,0,2,1
12991,332,1674,791918,1,2,2
13021,332,2078,613520,1,2,2
13024,252,2222,976252,1,3,3
13057,911,2822,942012,1,2,2
13059,89,2911,715239,1,4,4
13124,911,1057,1318520,1,2,2
13127,178,1797,1157473,0,4,3
13143,252,2020,1296012,1,3,3
13231,50,4752,141798,1,2,2
13255,199,628,82790,1,1,1
13353,89,2213,945584,1,4,4
13396,547,2667,1094686,0,4,3
13408,911,5971,518665,0,2,3
13481,178,1955,156342,1,4,4
13540,727,17,1242487,1,2,2
13559,89,4741,845914,0,4,1
13582,83,2347,1201370,0,2,1
13639,668,3651,1320288,1,3,3
13643,405,2598,1069578,1,2,2
13709,856,3807,1135416,0,3,4
13716,332,860,668304,1,2,2
13722,178,110,663441,1,4,4
13791,199,3038,1003232,0,1,2
13796,815,5391,1229242,1,1,1
13867,764,2828,1224541,1,4,4
13899,252,2485,908957,0,3,2
13942,668,4295,1123990,1,3,3
14011,462,40,697536,0,3,4
14016,911,5234,1013555,1,2,2
14017,815,1964,308810,1,1,1
14067,856,4526,1049022,1,3,3
14071,83,5182,383372,0,2,4
14173,855,848,1184373,1,3,3
14181,50,5435,622670,1,2,2
14260,911,889,868582,1,2,2
14263,815,6023,1328847,1,1,1
14275,547,1670,345878,1,4,4
14312,922,465,639030,0,4,1
14338,199,2745,737305,1,1,1
14351,547,6094,344736,0,4,1
14377,815,3705,818814,1,1,1
14429,764,1670,549016,0,4,2
14493,815,2445,1166313,1,1,1
14571,178,3397,134177,1,4,4
14776,668,4227,1337977,1,3,3
14856,252,1886,478435,1,3,3
14857,547,4139,307674,0,4,1
14868,547,5762,1272007,1,4,4
14895,855,4008,1508782,1,3,3
14936,911,386,987165,1,2,2
14957,462,5281,870665,1,3,3
14981,199,1014,327265,0,1,4
15034,856,492,379024,1,3,3
15044,764,2043,480592,0,4,3
15140,547,2404,1456475,1,4,4
15181,462,2279,923741,1,3,3
15189,815,374,208025,1,1,1
15201,911,5705,373188,1,2,2
15223,836,3314,509886,1,4,4
15313,462,3750,835513,1,3,3
15368,764,1113,41534,0,4,2
15434,856,178,1452186,0,3,2
15477,911,2116,542220,1,2,2
15481,625,2923,633983,1,1,1
15495,625,1207,1213238,0,1,3
15499,922,3524,202173,1,4,4
15502,252,4900,370509,0,3,2
15610,836,4474,155794,1,4,4
15705,727,1061,435155,1,2,2
15837,815,2760,678733,1,1,1
15872,668,5951,893868,0,3,4
15906,815,353,661148,1,1,1
15912,625,123,1490187,1,1,1
15918,727,2231,480529,1,2,2
15935,922,354,428355,1,4,4
16014,764,732,81250,0,4,2
16016,911,646,232090,1,2,2
16085,199,1689,1131732,0,1,3
16156,199,135,449344,1,1,1
16214,405,3470,313205,0,2,3
16233,199,5805,693846,1,1,1
16298,855,1240,621591,1,3,3
16334,625,381,20169,1,1,1
16409,89,409,327369,1,4,4
16440,89,1240,648617,1,4,4
16601,625,1493,1460978,1,1,1
16603,922,3549,541730,1,4,4
16611,911,4325,1349407,0,2,1
16619,89,645,1024070,0,4,1
16642,727,4680,80724,1,2,2
16704,922,5148,1400885,0,4,1
16741,332,3599,638447,1,2,2
16751,178,4144,27523,1,4,4
16774,547,4580,913668,0,4,2
16784,178,2636,551223,1,4,4
16801,83,4163,258347,1,2,2
16808,625,4588,874236,1,1,1
16840,199,4867,671621,0,1,4
16899,855,2774,779417,1,3,3
17033,199,59,1132456,1,1,1
17045,547,2061,1036514,0,4,2
17145,332,1115,885215,1,2,2
17158,855,4374,84718,0,3,2
17159,83,3061,346754,1,2,2
17207,405,1250,1485964,0,2,3
17350,727,3399,103661,1,2,2
17372,178,4509,215480,0,4,3
17387,625,4575,2906,0,1,2
17521,836,1873,601521,1,4,4
17527,922,6072,1040471,0,4,3
17533,405,373,172188,1,2,2
17549,911,4849,335173,1,2,2
17588,252,4504,1224341,1,3,3
17589,668,1370,1202233,1,3,3
17612,252,4030,1203583,1,3,3
17630,727,1976,595390,1,2,2
17712,764,236,1222276,1,4,4
17747,547,830,459356,0,4,1
17757,405,5362,469780,0,2,3
17766,89,4216,1457748,1,4,4
17898,922,2554,1055919,0,4,3
17926,855,203,1273546,1,3,3
17935,668,4208,1053830,1,3,3
17938,405,3096,591079,0,2,3
17939,855,2260,1395719,1,3,3
17973,89,3852,356728,1,4,4
18022,50,2337,721354,1,2,2
18105,856,2461,1068286,0,3,2
18144,199,1061,194317,1,1,1
18206,727,6033,1082341,0,2,4
18231,178,3610,760493,1,4,4
18253,855,4360,213619,1,3,3
18289,50,10,772017,1,2,2
18311,252,1684,1123145,0,3,2
18317,332,1416,335137,1,2,2
18395,405,1355,60670,1,2,2
18414,815,193,444820,0,1,2
18447,625,802,629008,0,1,4
18451,815,689,877520,1,1,1
18482,199,454,479641,1,1,1
18502,252,6066,1016485,0,3,2
18547,625,1709,1038186,1,1,1
18644,856,203,1453846,0,3,2
18658,547,4940,78026,0,4,3
18677,764,5024,798815,0,4,3
18701,405,1966,134119,0,2,1
18761,922,1959,765291,1,4,4
18825,50,6095,993758,1,2,2
18846,462,5102,267298,1,3,3
18938,178,6053,1367220,1,4,4
18955,83,3135,984670,0,2,1
18961,727,2667,594629,1,2,2
19027,855,3709,1346667,0,3,1
19066,668,3663,1054946,0,3,2
19113,178,5202,280760,1,4,4
19159,50,286,1074835,1,2,2
19232,922,2213,1373880,1,4,4
19239,911,3107,311791,1,2,2
19268,911,5110,958157,1,2,2
19309,625,2554,855133,0,1,2
19331,764,439,411924,1,4,4
19445,727,2902,808065,1,2,2
19556,252,26,1370170,1,3,3
19602,836,1521,768042,1,4,4
19682,89,3537,968190,0,4,3
19686,462,5610,1311299,0,3,1
19696,547,5713,1287455,1,4,4
19719,547,3513,275058,1,4,4
19753,668,2473,1312022,1,3,3
19801,50,964,478474,0,2,1
19852,727,4553,574956,0,2,3
19979,252,2824,1283711,1,3,3
20109,815,2030,311804,1,1,1
20160,405,2618,518068,1,2,2
20215,764,2745,15857,1,4,4
20224,625,6112,1475843,1,1,1
20226,252,1362,435764,1,3,3
20261,199,1804,846872,0,1,2
20292,856,4469,320358,0,3,4
20344,462,1748,708232,1,3,3
20396,83,2237,1335471,0,2,3
20516,332,6093,1373046,1,2,2
20540,462,4837,829854,0,3,1
20604,855,5762,478769,1,3,3
20609,764,184,868841,0,4,2
20641,547,2237,1473371,0,4,1
20651,855,69,349920,0,3,4
20658,83,5205,1048964,1,2,2
20666,178,3647,935784,1,4,4
20702,178,3014,313716,0,4,2
20731,89,2855,1400925,1,4,4
20740,89,3938,370211,1,4,4
20779,625,2562,1298915,1,1,1
20814,547,1964,641259,1,4,4
20842,855,4891,1358988,0,3,2
20896,836,5983,463038,1,4,4
20905,911,3005,1410905,1,2,2
20970,922,3446,488402,0,4,1
21044,836,3507,253447,1,4,4
21089,668,3509,1113804,1,3,3
21153,405,3097,603025,0,2,4
21180,911,3559,766978,0,2,1
21206,856,871,431491,0,3,4
21216,727,3600,916910,1,2,2
21242,815,3584,1277301,1,1,1
21328,836,1993,796650,0,4,2
21345,855,3014,1198235,0,3,1
21352,625,4271,1203125,0,1,4
21499,836,4581,1264063,0,4,3
21509,815,3755,89010,0,1,3
21566,199,1590,709667,1,1,1
21606,764,2777,14764,1,4,4
21617,50,4109,1081221,1,2,2
21643,178,845,1216737,1,4,4
21652,836,4211,124133,1,4,4
21657,727,4827,480449,1,2,2
21693,83,5839,25011,1,2,2
21948,815,6049,227752,0,1,3
21961,332,2116,1284131,0,2,1
22045,199,934,1350470,1,1,1
22080,922,2717,1072683,1,4,4
22165,668,350,1415896,1,3,3
22177,547,169,818523,1,4,4
22296,405,4890,1241005,1,2,2
22342,922,3998,84954,1,4,4
22364,855,144,363467,1,3,3
22367,50,859,625348,1,2,2
22427,332,385,751285,1,2,2
22555,922,1284,918170,1,4,4
22581,855,4453,1402893,0,3,2
22591,199,1791,1394026,1,1,1
22602,199,2550,657291,1,1,1
22758,405,5470,330914,0,2,3
22846,50,5607,636496,0,2,3
22851,911,1326,1104693,1,2,2
22899,50,5566,321953,0,2,1
22916,815,577,60749,1,1,1
22936,668,2795,1335773,0,3,2
22987,727,646,1017176,0,2,3
23025,856,1025,1226454,0,3,1
23030,332,4422,32432,0,2,1
23050,815,3138,218081,1,1,1
23092,199,3829,561946,1,1,1
23098,922,5229,1407540,1,4,4
23165,89,4409,368048,0,4,2
23214,855,5490,831320,1,3,3
23218,178,2697,450049,1,4,4
23322,855,1853,580732,1,3,3
23335,178,3843,1295922,1,4,4
23338,178,717,11377,1,4,4
23355,462,1462,67432,1,3,3
23363,625,5933,1287266,1,1,1
23392,50,523,265728,1,2,2
23424,625,2829,1402106,1,1,1
23442,89,4372,223782,0,4,3
23460,922,491,141347,1,4,4
23476,462,6010,284622,1,3,3
23484,855,3315,1047891,1,3,3
23536,815,4173,412861,1,1,1
23543,727,5335,683199,1,2,2
23593,547,5452,1379671,0,4,3
23722,625,3351,535776,1,1,1
23767,252,3102,440488,1,3,3
23794,625,3403,1313330,1,1,1
23796,836,5643,1300198,0,4,2
23799,764,5806,353249,0,4,2
23837,547,5024,224462,0,4,3
23967,764,5901,677388,1,4,4
24034,625,3057,582578,1,1,1
24170,405,4215,1260512,0,2,3
24184,332,1626,289657,0,2,1
24249,668,5561,1189541,1,3,3
24312,727,1317,1405552,1,2,2
24321,764,2918,502946,1,4,4
24338,727,1057,1248388,1,2,2
24410,83,1180,807684,0,2,1
24412,727,1784,171805,1,2,2
24454,547,5451,748888,1,4,4
24474,199,3843,1386788,1,1,1
24496,89,3346,1422730,1,4,4
24552,89,4527,326900,1,4,4
24600,405,232,1077110,0,2,3
24628,89,2011,953169,1,4,4
24679,836,4597,1248574,1,4,4
24785,252,2529,375697,0,3,2
24817,252,4546,1085582,1,3,3
24891,178,3387,1355913,1,4,4
24914,199,248,1347392,1,1,1
25012,836,5024,243187,0,4,3
25073,252,159,625046,0,3,2
25139,405,4243,1196446,0,2,3
25140,856,2756,1220863,0,3,2
25148,252,20,1264188,0,3,2
25183,727,1514,1043091,1,2,2
25225,547,6106,1125541,0,4,3
25233,815,2978,1092669,0,1,2
25266,727,743,653135,1,2,2
25304,727,3475,847887,0,2,3
25356,462,3299,10574,1,3,3
25391,815,3987,1286111,1,1,1
25481,911,2305,1079826,0,2,1
25499,836,1077,940518,0,4,2
25594,764,2568,862285,1,4,4
25636,855,3180,136692,0,3,2
25637,625,5531,1265099,1,1,1
25652,855,3755,858682,1,3,3
25680,89,2725,1208310,0,4,1
25693,836,2268,28131,1,4,4
25703,836,40,474053,1,4,4
25758,855,4033,1366359,1,3,3
25776,332,5483,381748,0,2,1
25809,50,1644,431030,1,2,2
25811,855,3513,197414,1,3,3
25820,252,4573,1376498,0,3,4
25936,547,3483,1470820,0,4,2
25947,252,2157,1275459,1,3,3
25950,836,3716,1030963,0,4,1
25975,83,4793,1164588,1,2,2
25984,178,1500,351840,1,4,4
26008,199,3044,601044,0,1,3
26010,252,1335,1395597,1,3,3
26106,50,1898,1040214,0,2,4
26149,911,4182,1294822,1,2,2
26163,332,756,659698,0,2,1
26199,405,1694,376374,1,2,2
26251,855,3344,324088,1,3,3
26260,855,2924,626943,1,3,3
26393,911,3082,1272908,1,2,2
26417,405,4975,512291,1,2,2
26615,462,449,60412,0,3,1
26644,405,4889,362370,1,2,2
26712,405,59,235775,1,2,2
26720,89,159,1318239,1,4,4
26723,836,3993,313483,0,4,1
26752,625,254,531063,0,1,3
26763,50,4616,84080,1,2,2
26782,764,5498,959825,1,4,4
26821,547,4131,1021222,0,4,2
26875,815,2799,1332234,1,1,1
26901,199,2293,1318188,0,1,4
26903,89,633,249418,0,4,1
26926,855,927,163758,1,3,3
26932,836,3966,311354,0,4,3
26997,922,2055,1238472,1,4,4
27016,332,657,301641,1,2,2
27079,178,204,505414,1,4,4
27108,252,3347,907644,1,3,3
27157,252,3711,720837,0,3,2
27193,855,3020,213627,0,3,4
27198,83,599,911591,0,2,1
27210,50,3209,346431,1,2,2
27260,252,2267,892626,1,3,3
27307,727,5327,14174,1,2,2
27334,764,4930,558280,0,4,2
27372,911,1240,749787,1,2,2
27405,922,423,1017609,1,4,4
27461,855,885,1222472,1,3,3
27470,855,5098,419955,1,3,3
27475,625,1068,1118376,0,1,4
27500,836,1710,1330358,0,4,3
27523,668,4580,948921,1,3,3
27673,252,4721,114971,1,3,3
27706,89,2664,717744,1,4,4
27723,199,4524,26287,1,1,1
27764,911,4573,840335,0,2,3
27782,332,156,767938,0,2,3
27808,178,902,909666,1,4,4
27866,922,4226,766209,1,4,4
27881,764,4815,1108223,1,4,4
27898,668,1067,251738,0,3,4
27925,547,3202,372799,1,4,4
27962,764,1419,523975,0,4,2
27982,89,5588,515854,0,4,2
28003,178,565,1294511,1,4,4
28017,815,5664,20641,1,1,1
28054,199,1626,611502,0,1,2
28097,405,5792,1094046,1,2,2
28245,668,2220,1399144,1,3,3
28296,547,1307,196107,1,4,4
28301,199,932,275537,0,1,2
28333,405,5679,1259012,0,2,1
28437,922,519,467729,1,4,4
28532,547,5483,1416378,0,4,2
28546,178,3472,866408,1,4,4
28566,83,1492,1071132,0,2,3
28610,911,4142,179103,1,2,2
28649,83,143,439265,0,2,1
28725,332,3145,51648,1,2,2
28807,252,2350,251402,1,3,3
28837,252,4126,332695,1,3,3
28840,89,3130,932622,0,4,3
28882,668,2273,709632,1,3,3
28905,625,3099,54325,0,1,2
28922,764,241,395297,0,4,2
28947,332,5983,1303297,1,2,2
28980,727,5922,881286,1,2,2
28987,547,593,1030508,0,4,2
29002,922,3309,161439,1,4,4
29024,668,2350,1345944,1,3,3
29179,727,2265,340752,1,2,2
29193,547,5355,839894,0,4,1
29237,922,5113,530778,1,4,4
29273,855,966,446281,0,3,4
29356,856,1776,402711,1,3,3
29376,922,573,1446481,0,4,1
29395,83,5362,121423,0,2,3
29422,83,4747,847163,1,2,2
29484,836,4421,1134222,0,4,3
29520,199,4281,953900,1,1,1
29588,252,2812,1239302,0,3,4
29628,922,1385,1313411,1,4,4
29654,50,564,468598,1,2,2
29675,462,4316,648768,1,3,3
29716,252,5558,1291892,1,3,3
29859,911,6077,517322,0,2,4
29928,89,3633,158326,1,4,4
29949,922,2575,1105473,1,4,4
30065,922,464,497828,0,4,3
30071,856,2532,1387843,0,3,2
30109,50,1046,1140905,1,2,2
30161,405,2003,254863,0,2,4
30217,815,2400,768901,1,1,1
30223,83,5952,612062,1,2,2
30266,83,1636,806834,1,2,2
30298,178,6112,636043,1,4,4
30301,855,4107,799794,1,3,3
30322,83,3259,1308917,0,2,1
30350,668,3036,1094518,1,3,3
30390,89,1528,682475,0,4,1
30402,727,4792,436901,1,2,2
30408,922,4077,109848,1,4,4
30421,815,5014,1239763,1,1,1
30539,727,1144,1466311,0,2,4
30557,911,3224,378318,0,2,3
30561,856,1073,905742,0,3,2
30566,836,2726,10917,1,4,4
30591,199,314,1002181,1,1,1
30642,764,5064,314194,1,4,4
30733,332,1610,1047720,0,2,1
30755,89,5125,885151,0,4,1
30886,50,3018,1153503,0,2,3
30916,625,4084,710357,0,1,2
30972,199,1764,1430136,1,1,1
31008,83,5493,935365,0,2,1
31037,405,3089,1237908,1,2,2
31047,625,4294,1333099,0,1,3
31057,911,3398,1152847,0,2,1
31098,252,272,241247,0,3,2
31143,764,6010,970732,1,4,4
31257,815,4670,1396858,1,1,1
31303,836,575,337563,1,4,4
31346,50,5343,1386424,1,2,2
31367,668,4182,558619,1,3,3
31379,922,2571,407285,1,4,4
31387,50,1155,1332645,1,2,2
31426,178,3547,1126283,1,4,4
31523,625,1630,158914,1,1,1
31555,855,3191,1314135,0,3,4
31573,727,4069,1115243,1,2,2
31590,856,436,1474807,1,3,3
31594,764,79,791016,1,4,4
31619,911,4918,1052556,1,2,2
31687,178,3557,394683,1,4,4
31705,668,4720,1207793,0,3,1
31718,547,5846,744964,1,4,4
31737,332,4409,731063,0,2,1
31742,668,3987,251584,1,3,3
31792,727,127,259285,1,2,2
31799,856,131,19209,1,3,3
31867,856,5287,891052,0,3,1
